Word,Part of Speech
abortifacient,Adjective/Noun
abortion,Noun
abortion pill,Noun
abortion-inducing drug,Noun
abortionist,Noun
abortive,Adjective
abortively,Adverb
abortus,Noun
aboulia,Noun
aboulic,Adjective
abound,Verb
abound in,Verb
abounding,Adjective
about,Adjective/Adverb
about turn,Noun
about-face,Noun/Verb
above,Adjective/Adverb/Noun
above all,Adverb
above-mentioned,Adjective
above-named,Adjective
aboveboard,Adjective/Adverb
aboveground,Adjective
abracadabra,Noun
abrachia,Noun
abradant,Noun
abrade,Verb
abrader,Noun
abrading stone,Noun
abraham,Noun
abraham lincoln,Noun
abraham stoker,Noun
abraham's bosom,Noun
abramis,Noun
abramis brama,Noun
abranchial,Adjective
abranchiate,Adjective
abranchious,Adjective
abrase,Verb
abrasion,Noun
abrasive,Adjective/Noun
abrasive material,Noun
abrasiveness,Noun
abreact,Verb
abreaction,Noun
abreast,Adjective/Adverb
abridge,Verb
abridged,Adjective
abridgement,Noun
abridger,Noun
abridgment,Noun
abroach,Adjective
abroad,Adjective/Adverb
abrocoma,Noun
abrocome,Noun
abrogate,Verb
abrogation,Noun
abrogator,Noun
abronia,Noun
abronia elliptica,Noun
abronia fragrans,Noun
abronia latifolia,Noun
abronia maritima,Noun
abronia umbellata,Noun
abronia villosa,Noun
abrupt,Adjective
abruptio placentae,Noun
abruption,Noun
abruptly,Adverb
abruptly-pinnate,Adjective
abruptly-pinnate leaf,Noun
abruptness,Noun
abruzzi,Noun
abruzzi e molise,Noun
abs,Noun
abscess,Noun
abscessed,Adjective
abscessed tooth,Noun
abscise,Verb
abscissa,Noun
abscission,Noun
abscond,Verb
absconder,Noun
abscondment,Noun
abseil,Noun/Verb
abseiler,Noun
absence,Noun
absence seizure,Noun
absence without leave,Noun
absent,Adjective/Verb
absentee,Noun
absentee ballot,Noun
absentee rate,Noun
absenteeism,Noun
absently,Adverb
absentminded,Adjective
absentmindedly,Adverb
absentmindedness,Noun
absinth,Noun
absinthe,Noun
absinthe oil,Noun
absolute,Adjective/Noun
absolute alcohol,Noun
absolute ceiling,Noun
absolute frequency,Noun
absolute magnitude,Noun
absolute majority,Noun
absolute pitch,Noun
absolute scale,Noun
absolute space,Noun
absolute temperature,Noun
absolute threshold,Noun
absolute value,Noun
absolute viscosity,Noun
absolute zero,Noun
absolutely,Adverb
absoluteness,Noun
absolution,Noun
absolutism,Noun
absolutist,Adjective/Noun
absolutistic,Adjective
absolve,Verb
absolved,Adjective
absolver,Noun
absolvitory,Adjective
absorb,Verb
absorbable,Adjective
absorbance,Noun
absorbate,Noun
absorbed,Adjective
absorbefacient,Adjective
absorbency,Noun
absorbent,Adjective/Noun
absorbent cotton,Noun
absorbent material,Noun
absorber,Noun
absorbing,Adjective
absorptance,Noun
absorption,Noun
absorption band,Noun
absorption coefficient,Noun
absorption factor,Noun
absorption indicator,Noun
absorption spectrum,Noun
absorption unit,Noun
absorptive,Adjective
absorptivity,Noun
absquatulate,Verb
abstain,Verb
abstainer,Noun
abstemious,Adjective
abstemiously,Adverb
abstemiousness,Noun
abstention,Noun
abstentious,Adjective
abstinence,Noun
abstinent,Adjective/Noun
abstract,Adjective/Noun/Verb
